Brand,Ship,Ship Name,Cabin Category Code,Ship Category Long Description,Inside or Outside Category
C,AT,CELEBRITY ASCENT,AS,AQUA SKY SUITES,O
C,AT,CELEBRITY ASCENT,O2,OCEAN VIEW,O
C,AT,CELEBRITY ASCENT,PO,PANORAMIC OCEAN VIEW STATEROOM,O
C,AT,CELEBRITY ASCENT,PS,PENTHOUSE SUITE,O
C,AT,CELEBRITY ASCENT,P1,DELUXE PORTHOLE VIEW WITH VERANDA,O
C,AT,CELEBRITY ASCENT,P2,DELUXE PORTHOLE VIEW WITH VERANDA,O
C,AT,CELEBRITY ASCENT,RS,ROYAL SUITE,O
C,AT,CELEBRITY ASCENT,SC,SUNSET CONCIERGE CLASS,O
C,AT,CELEBRITY ASCENT,O1,PRIME OCEANVIEW,O
C,AT,CELEBRITY ASCENT,SS,SUNSET SKY SUITE,O
C,AT,CELEBRITY ASCENT,S1,SKY SUITE,O
C,AT,CELEBRITY ASCENT,W,GUARANTEE DELUXE,X
C,AT,CELEBRITY ASCENT,X,GUARANTEE VERANDA,X
C,AT,CELEBRITY ASCENT,XA,GUARANTEE AQUACLASS,X
C,AT,CELEBRITY ASCENT,XC,GUARANTEE CONCIERGE CLASS,X
C,AT,CELEBRITY ASCENT,Y,GUARANTEE OCEAN VIEW,X
C,AT,CELEBRITY ASCENT,Z,GUARANTEE INSIDE,X
C,AT,CELEBRITY ASCENT,SV,SUNSET VERANDA,O
C,AT,CELEBRITY ASCENT,MS,MAGIC CARPET SKY SUITE,O
C,AT,CELEBRITY ASCENT,S2,SKY SUITE,O
C,AT,CELEBRITY ASCENT,I2,INSIDE,I
C,AT,CELEBRITY ASCENT,I3,INSIDE,I
C,AT,CELEBRITY ASCENT,A1,AQUACLASS STATEROOM WITH INFINITE VERANDA,O
C,AT,CELEBRITY ASCENT,A2,AQUACLASS STATEROOM WITH INFINITE VERANDA,O
C,AT,CELEBRITY ASCENT,CR,CREW CABIN CATEGORY,X
C,AT,CELEBRITY ASCENT,C1,CELEBRITY CONCIERGE CLASS WITH INFINITE VERANDA,O
C,AT,CELEBRITY ASCENT,C2,CELEBRITY CONCIERGE CLASS WITH INFINITE VERANDA,O
C,AT,CELEBRITY ASCENT,C3,CELEBRITY CONCIERGE CLASS WITH INFINITE VERANDA,O
C,AT,CELEBRITY ASCENT,DI,DELUXE INSIDE,I
C,AT,CELEBRITY ASCENT,CS,CELEBRITY SUITE,O
C,AT,CELEBRITY ASCENT,ES,EDGE SINGLE STATEROOM WITH INFINITE VERANDA,O
C,AT,CELEBRITY ASCENT,DO,DELUXE OCEANVIEW,O
C,AT,CELEBRITY ASCENT,IC,ICONIC SUITE,O
C,AT,CELEBRITY ASCENT,E3,EDGE STATEROOM WITH INFINITE VERANDA,O
C,AT,CELEBRITY ASCENT,I1,PRIME INSIDE,I
C,AT,CELEBRITY ASCENT,E2,EDGE STATEROOM WITH INFINITE VERANDA,O
C,AT,CELEBRITY ASCENT,E1,EDGE STATEROOM WITH INFINITE VERANDA,O
C,AT,CELEBRITY ASCENT,EX,INFINITE VERANDA GTY,X
C,AT,CELEBRITY ASCENT,EV,EDGE VILLA,O
C,AX,CELEBRITY APEX,V1,VISTA INFINITE VERANDA,O
C,AX,CELEBRITY APEX,S2,SKY SUITE,O
C,AX,CELEBRITY APEX,S1,SKY SUITE,O
C,AX,CELEBRITY APEX,S3,SKY SUITE,O
C,AX,CELEBRITY APEX,SV,SUNSET VERANDA,O
C,AX,CELEBRITY APEX,RS,ROYAL SUITE,O
C,AX,CELEBRITY APEX,SC,SUNSET CONCIERGE CLASS,O
C,AX,CELEBRITY APEX,P2,DELUXE PORTHOLE VIEW WITH VERANDA,O
C,AX,CELEBRITY APEX,W,GUARANTEE DELUXE,X
C,AX,CELEBRITY APEX,P1,DELUXE PORTHOLE VIEW WITH VERANDA,O
C,AX,CELEBRITY APEX,SS,SUNSET SKY SUITE,O
C,AX,CELEBRITY APEX,X,GUARANTEE VERANDA,X
C,AX,CELEBRITY APEX,1B,DELUXE OCEAN VIEW STATEROOM WITH VERANDA,O
