Brand,Ship Code,Ship Name,Deck Code,Deck Name,Deck Number
C,AT,CELEBRITY ASCENT,16,DECK SIXTEEN,16
C,AT,CELEBRITY ASCENT,02,MEDICAL DECK,2
C,AT,CELEBRITY ASCENT,03,DECK THREE,3
C,AT,CELEBRITY ASCENT,04,DECK FOUR,4
C,AT,CELEBRITY ASCENT,06,DECK SIX,6
C,AT,CELEBRITY ASCENT,07,DECK SEVEN,7
C,AT,CELEBRITY ASCENT,08,DECK EIGHT,8
C,AT,CELEBRITY ASCENT,05,DECK FIVE,5
C,AT,CELEBRITY ASCENT,10,DECK TEN,10
C,AT,CELEBRITY ASCENT,11,DECK ELEVEN,11
C,AT,CELEBRITY ASCENT,12,DECK TWELVE,12
C,AT,CELEBRITY ASCENT,14,DECK FOURTEEN,14
C,AT,CELEBRITY ASCENT,15,DECK FIFTEEN,15
C,AT,CELEBRITY ASCENT,09,DECK NINE,9
C,AX,CELEBRITY APEX,06,DECK SIX,6
C,AX,CELEBRITY APEX,05,DECK FIVE,5
C,AX,CELEBRITY APEX,02,MEDICAL DECK,2
C,AX,CELEBRITY APEX,03,DECK THREE,3
C,AX,CELEBRITY APEX,07,DECK SEVEN,7
C,AX,CELEBRITY APEX,04,DECK FOUR,4
C,AX,CELEBRITY APEX,08,DECK EIGHT,8
C,AX,CELEBRITY APEX,14,DECK FOURTEEN,14
C,AX,CELEBRITY APEX,10,DECK TEN,10
C,AX,CELEBRITY APEX,09,DECK NINE,9
C,AX,CELEBRITY APEX,15,DECK FIFTEEN,15
C,AX,CELEBRITY APEX,16,DECK SIXTEEN,16
C,AX,CELEBRITY APEX,12,DECK TWELVE,12
C,AX,CELEBRITY APEX,11,DECK ELEVEN,11
C,BY,CELEBRITY BEYOND,02,MEDICAL DECK,2
C,BY,CELEBRITY BEYOND,03,DECK THREE,3
C,BY,CELEBRITY BEYOND,04,DECK FOUR,4
C,BY,CELEBRITY BEYOND,05,DECK FIVE,5
C,BY,CELEBRITY BEYOND,07,DECK SEVEN,7
C,BY,CELEBRITY BEYOND,08,DECK EIGHT,8
C,BY,CELEBRITY BEYOND,06,DECK SIX,6
C,BY,CELEBRITY BEYOND,10,DECK TEN,10
C,BY,CELEBRITY BEYOND,15,DECK FIFTEEN,15
C,BY,CELEBRITY BEYOND,14,DECK FOURTEEN,14
