Airport Code,Airport Name,Airport City,Airport State,Airport Country
AAL,AALBORG,AALBORG,,DNK
AAR,AARHUS,AARHUS,,DNK
ABC,LOS LLANOS,ALBACETE,,ESP
ABE,LEHIGH VALLEY,ALLENTOWN,PA,USA
ABI,ABILENE MNPL,ABILINE,TX,USA
ABQ,ALBUQUERQUE INTL,ALBUQUERQUE,NM,USA
ABR,ABERDEEN MNPL,ABERDEEN,SD,USA
ABX,ALBURY,ALBURY,,AUS
ABY,DOUGHERTY COUNTY,ALBANY,GA,USA
ABZ,DYCE,ABERDEEN,,GBR
ACA,ALVAREZ INTL,ACAPULCO,,MEX
ACE,LANZAROTE,LANZAROTE,,ESP
ACK,NANTUCKET MEM.,NANTUCKET,MA,USA
ACT,WACO MUNICIPAL,WACO,TX,USA
ACV,EUREKA,ARCATA,CA,USA
ACY,ATLANTIC CITY,ATLANTIC CITY,NJ,USA
ADB,ADNAN MENDERES,IZMIR,,TUR
ADD,BOLE,ADDIS ABABA,,EGY
ADL,ADELAIDE INTL,ADELAIDE,,AUS
ADQ,KODIAK,KODIAK,AK,USA
ADZ,SAN ANDRES ISLND,SAN ANDRES,,COL
AEP,JORGE NEWBERY,BUENOS AIRES,,ARG
AES,VIGRA,ALESUND,,NOR
AEX,ALEXANDRIA INTL,ALEXANDRIA,LA,USA
AEY,AKUREYRI,AKUREYRI,,ISL
AGA,AL MASSIRA,AGADIR,,MAR
AGB,AUGSBURG MUEHLHA,MUNICH,,DEU
AGH,ANGELHOLM,HELSINGBORG,,SWE
AGP,PABLO R PICASSO,MALAGA,,ESP
AGS,BUSH FIELD,AUGUSTA,GA,USA
AGU,LIC. JESUS TERAN,AGUASCALIENTES,,MEX
AHN,ATHENS,ATHENS,GA,USA
AHO,FERTILIA,ALGHERO,,ITA
AJA,CAMPO DELL ORO,AJACCIO,,FRA
AJU,SANTA MARIA,ARACAJU,,BRA
AKL,AUCKLAND INTL,AUCKLAND,,NZL
