Code,Description
ABV,Arabic Standard
AFK,Afrikaans
BLG,Bulgarian
CHN,Chinese Mandarin
CLN,Catalan
CZC,Czech
DNS,Danish
DUT,Dutch
ENG,English
ESG,Greenlandic
FIN,Finnish
FRN,French
GER,German
GRK,Greek
HBR,Hebrew
HND,Hindi
HNG,Hungarian
ICE,Icelandic
INZ,Indonesian
ITN,Italian
JPN,Japanese
KKN,Korean
MLI,Malay
NRR,Norwegian
POR,Portuguese
PQL,Polish
RUM,Romanian
RUS,Russian
SLO,Slovak
SLV,Slovenian
SPN,Spanish
SRC,Serbo-Croatian
SWA,Swahili
SWD,Swedish
THJ,Thai
TRK,Turkish
UKR,Ukrainian
VIE,Vietnamese
