Port Code,Port Name,Country Code
AAR,"AARHUS, DENMARK",DNK
ACA,"ACAPULCO, MEXICO",MEX
ACE,"LANZAROTE, CANARY ISLANDS",ESP
ADB,"EPHESUS (KUSADASI), TURKEY",TUR
ADR,"ANGRA DOS REIS, BRAZIL",BRA
ADZ,"SAN ANDRES ISLAND, COLOMBIA",COL
AES,"GEIRANGER, NORWAY",NOR
AEY,"AKUREYRI, ICELAND",ISL
AGA,"AGADIR, MOROCCO",MAR
AGP,"MALAGA, SPAIN",ESP
AJA,"AJACCIO, CORSICA, FRANCE",FRA
AKL,"AUCKLAND, NEW ZEALAND",NZL
ALC,"ALICANTE, SPAIN",ESP
ALY,"ALEXANDRIA, EGYPT",EGY
AMS,"AMSTERDAM, NETHERLANDS",NLD
ANU,"ST. JOHNS, ANTIGUA",ATG
AQJ,"AQABA, JORDAN",JOR
ARI,"ARICA, CHILE",CHL
ASD,"JERUSALEM (ASHDOD), ISRAEL",ISR
ASE,AT SEA,USA
AST,"ASTORIA, OREGON",USA
ATC,ARCTIC CIRCLE (CRUISE),NOR
ATH,"ATHENS (PIRAEUS), GREECE",GRC
AUA,"ORANJESTAD, ARUBA",ABW
BCN,"BARCELONA, SPAIN",ESP
BDA,"HAMILTON, BERMUDA",BMU
BEL,"AMAZON RIVER, BRAZIL",BRA
BES,"BREST, FRANCE",FRA
BGI,"BRIDGETOWN, BARBADOS",BRB
BGO,"BERGEN, NORWAY",NOR
BHB,"BAR HARBOR, MAINE",USA
BIL,"BILBAO, SPAIN",ESP
BKK,"BANGKOK/LAEMCHABANG,THAILAND",THA
BNE,"BRISBANE, AUSTRALIA",AUS
BOB,"BORA BORA, FRENCH POLYNESIA",PYF
BOM,"MUMBAI (BOMBAY), INDIA",IND
BON,"KRALENDIJK, BONAIRE",NLD
BOS,"BOSTON, MASSACHUSETTS",USA
BPS,"PORTO SEGURO, BRAZIL",BRA
BRU,"BRUGES,(ZEEBRUGGE),BELGIUM",BEL
BWI,"BALTIMORE, MARYLAND",USA
BWN,"BANDAR SERI BEGAWAN, BRUNEI",BRN
BYO,"BAY OF ISLANDS, NEW ZEALAND",NZL
BZC,"BUZIOS, BRAZIL",BRA
BZE,"BELIZE CITY, BELIZE",BLZ
CAD,"SEVILLE (CADIZ), SPAIN",ESP
CAG,"CAGLIARI,SARDINIA,ITALY",ITA
CAI,"PORT SAID, EGYPT",EGY
CAL,"CALDERA, COSTA RICA",CRI
CAM,"CALICA, MEXICO",MEX
CAN,CANTON (GUANGZHOU). CHINA,CHN
CAR,"PLAYA DEL CARMEN, MEXICO",MEX
CAS,"CASABLANCA, MOROCCO",MAR
CAT,"CATALINA ISLAND, CALIFORNIA",USA
CCA,"COCOCAY, BAHAMAS",BHS
CCC,INVALID - DO NOT USE,DOM
CCD,"CASA DE CAMPO, DOMINICAN REP",DOM
CCS,"CARACAS, VENEZUELA",VEN
CDD,"CATALINA ISLAND, DOM REP",DOM
CEA,CRUISING THE INLAND SEA,JPN
CER,"CHERBOURG, FRANCE",FRA
CEU,"CEUTA, SPANISH MOROCCO",ESP
CFC,COLLEGE FJORD - CRUISING,USA
CFU,"CORFU, GREECE",GRC
CHC,"CHRISTCHURCH, NEW ZEALAND",NZL
CHJ,CHILEAN FJORDS,CHL
CHS,"CHARLESTON, SOUTH CAROLINA",USA
CMB,"COLOMBO, SRI LANKA",LKA
CMM,"PUERTO COSTA MAYA, MEXICO",MEX
CNS,"CAIRNS(YORKEY'S KNOB),AUSTRL",AUS
COK,"COCHIN, INDIA",IND
COP,"COPACABANA BEACH, BRAZIL",BRA
CPH,"COPENHAGEN, DENMARK",DNK
CTA,"CATANIA,SICILY,ITALY",ITA
CTB,"CRISTOBAL PIER, PANAMA",PAN
CTG,"CARTAGENA, COLOMBIA",COL
CTS,"CARTAGENA, SPAIN",ESP
CUN,"CANCUN, MEXICO",MEX
CUR,"WILLEMSTAD, CURACAO",ANT
CZM,"COZUMEL, MEXICO",MEX
DAD,"HUE (DANANG), VIETNAM",VNM
DBS,DOUBTFUL SOUND,NZL
DBV,"DUBROVNIK, CROATIA",HRV
DEL,"DELOS, GREECE",GRC
DKY,DUSKY SOUND,NZL
DOM,"CABRITS, DOMINICA",DMA
DOV,"DOVER, ENGLAND",GBR
DPS,"BALI (PADANG BAY), INDONESIA",IDN
DRW,"DARWIN, AUSTRALIA",AUS
DUB,"DUBLIN, IRELAND",IRL
DUD,"DUNEDIN, NEW ZEALAND",NZL
DVI,"DEVIL'S ISLAND, FR. GUIANA",GUF
DXB,"DUBAI, UNITED ARAB EMIRATES",ARE
EDB,"EDINBURGH, SCOTLAND",GBR
EEM,"EEMSHAVEN, NETHERLANDS",NLD
EID,"EIDFJORD, NORWAY",NOR
