Brand,Ship Code,Ship Name
C,AT,CELEBRITY ASCENT
C,AX,CELEBRITY APEX
C,BY,CELEBRITY BEYOND
C,CP,CELEBRITY PASSAGES
C,CS,CELEBRITY CONSTELLATION
C,EC,CELEBRITY ECLIPSE
C,EG,CELEBRITY EDGE
C,EQ,CELEBRITY EQUINOX
C,FL,CELEBRITY FLORA
C,IN,CELEBRITY INFINITY
C,ML,CELEBRITY MILLENNIUM
C,RF,CELEBRITY REFLECTION
C,SI,CELEBRITY SILHOUETTE
C,SL,CELEBRITY SOLSTICE
C,SM,CELEBRITY SUMMIT
C,XE,CELEBRITY XPERIENCE
C,XO,CELEBRITY XPLORATION
C,XP,CELEBRITY XPEDITION
R,AD,ADVENTURE OF THE SEAS
R,AL,ALLURE OF THE SEAS
R,AN,ANTHEM OF THE SEAS
R,BR,BRILLIANCE OF THE SEAS
R,EN,ENCHANTMENT OF THE SEAS
R,EX,EXPLORER OF THE SEAS
R,FR,FREEDOM OF THE SEAS
R,GR,GRANDEUR OF THE SEAS
R,HM,HARMONY OF THE SEAS
R,IC,ICON OF THE SEAS
R,ID,INDEPENDENCE OF THE SEAS
R,JW,JEWEL OF THE SEAS
R,LB,LIBERTY OF THE SEAS
R,MA,MARINER OF THE SEAS
R,NC,NEXT CRUISE PROGRAM
R,NV,NAVIGATOR OF THE SEAS
R,OA,OASIS OF THE SEAS
R,OV,OVATION OF THE SEAS
R,OY,ODYSSEY OF THE SEAS
R,QN,QUANTUM OF THE SEAS
R,RD,RADIANCE OF THE SEAS
R,RH,RHAPSODY OF THE SEAS
R,SC,SPECTRUM OF THE SEAS
R,SR,SERENADE OF THE SEAS
R,SY,SYMPHONY OF THE SEAS
R,UT,UTOPIA OF THE SEAS
R,VI,VISION OF THE SEAS
R,VY,VOYAGER OF THE SEAS
R,WC,ULTIMATE WORLD CRUISE
R,WN,WONDER OF THE SEAS
Z,AW,AZAMARA WORLD CRUISE
Z,JR,AZAMARA JOURNEY
Z,ON,AZAMARA ONWARD
Z,PR,AZAMARA PURSUIT
Z,QS,AZAMARA QUEST
