Code,Description
AFR,Africa
AK,ALASKA
ANT,ANTARCTICA
APC,ALASKA PACIFIC COASTAL
ARA,ARAB
ARC,ARCTIC
AUS,AUSTRALIA AND NEW ZEALAND
BAH,BAHAMAS
BER,BERMUDA
CAE,EASTERN CARIBBEAN
CAN,CANADA
CAR,CARIBBEAN
CAS,SOUTHERN CARIBBEAN
CAW,WESTERN CARIBBEAN
CHN,CHINA
CMP,MINIS CARIBE SUR
CPC,CALIFORNIA COASTAL
CRB,Crucero posicional
CUB,CUBA
ECS,EASTBOUND COASTAL
EEU,EAST EUROPE
EME,EASTERN MEDITERRANEAN
EMW,WESTERN MEDITERRANEAN
EUE,EUROPE EAST
EUN,EUROPE NORTH
EUR,EUROPEAN
EUS,EUROPE SOUTH
EUW,EUROPE WEST
FAM,FANTASIA MEDITERRANEA
FAR,FAR EAST
FIS,FIN DE SEMANA
GAL,GALAPAGOS ISLANDS
HAW,HAWAII
HKG,HONG KONG
IHL,REPOSITIONING
IND,DUBAI/INDIA
ING,INNAUGURAL CRUISES
LDX,LAX/DXB
MEX,MEXICO
MID,DUBAI/EMIRATES
NWS,CRUISE TO NO WHERE SLGS
PAA,Armada
PAB,Aires de Brasil
PAC,Antillas y Caribe Sur
PAD,ADRIA
PAE,ANTILLAS Y CARIBE SUR ESPECIAL
PAF,DE BARBADOS A ST. MAARTEN
PAG,ANTILLES Y GRANADINAS
PAH,DE SANTO DOMINGO A CARTAGENA
PAI,Baíla
PAJ,DE ST. MAARTEN A CURACAO
PAK,DE ST. MAARTEN A COLON
PAL,ALLEGRIA
PAM,DE SANTO DOMINGO A COLON
PAN,ANDALUCIA
PAO,DE SANTO DOMINGO A ST. MAARTEN
PAP,DE CARTAGENA A SANTO DOMINGO
PAQ,DE CURACAO A ST. MAARTEN
PAR,PARIS
PAS,MACEIO-SALVADOR-RIO
PAT,DE COLON A SANTO DOMINGO
PAU,DEL CARIBE A EUROPA
PAV,DE BILBAO A LISBOA
PAW,DE CANARIAS AL CARIBE
PAX,DE MALAGA A ST MARTIN
PAY,DE ANTIGUA A ST. MAARTEN
PAZ,Azzura
PBA,Bleu Azur
PBB,ISLAS CANARIAS Y MADEIRA
PBC,CAPITALES BALTICAS
PBD,ISLAS DEL CARIBE Y ST MAARTEN
PBE,Bella
PBF,ISLAS DEL CARIBE Y BARBADOS
PBG,RUMBO A LAS ISLAS GRIEGAS
PBH,Esplendores de Bahamas
PBI,M. CRUZEIRO BUZIOS-ILHAB
PBJ,DE CURACAO A SANTO DOMINGO
PBK,PULLMANTUR - BCN R/T
PBL,Belleza
PBM,BUENOS AIRES E MONTEVIDEO
PBN,CARNAVAL DO RIO
PBO,BARCELONA
PBP,BRASIL / PORTUGAL
PBQ,ESCAPADA A BÚZIOS
PBR,BRASIL / PORTUGAL / ESPANHA
PBS,BUZIOS E SANTOS
PBT,ESCAPADA AO RIO
PBU,Buenos Aires e Santos
PBV,BELLA VITA
PBW,RIO CIDADE E PRAIA
PBX,PULLMANTUR - BCN R/T
PBY,BYZANTINE
PBZ,RUMO Á SANTOS
PCA,ENCANTOS DE CANARIAS
PCB,M. CRUZEIRO BÚZIOS-SANTOS
PCC,CARNAVAL
PCD,ISLAS CANARIAS
PCE,Corazon de Europa
PCF,A SANTOS POR CABO FRIO
PCG,DE CADIZ A SANTOS
PCH,PMT CHARTER
PCI,CIAO BELLA
PCJ,DE PORTUGAL A BRASIL
PCK,TRAVESSIA BRASIL - ESPANHA
PCL,COLORES DEL MEDITERRANEO
PCM,EL CARIBE MEDITERRANEO
PCN,CARNAVAL EM RIO
PCO,COSTA AZUL Y ROMA
PCP,SOL DEL CIRCULO POLAR
PCQ,TRAVESSIA BRASIL - ESPANHA
PCR,CARIBE TROPICAL
PCS,CARNAVAL EM SALVADOR
PCT,"Córcega, Toscana y Occitania"
PCU,CARIBE SUR
PCV,CIAO VENECIA
PCW,RIO CIDADE E PRAIA
PCX,ESCAPADA A MARRUECOS
PCY,CHARTER
PCZ,CARNAVAL NO ZENITH
PDA,PERLAS DEL ATLANTICO
PDB,CHARTER
PDC,5 MARAVILLAS DEL MEDITERRANEO
PDD,EXPEDICION AL CIRCULO POLAR
PDE,DE ESPANA A BRASIL
PDF,DE CANARIAS AL MEDITERRANEO
PDG,DE LISBOA A VIGO
PDH,DEL CANTABRICO AL MEDITERRANEO
PDI,DEL MEDITERRANEO AL MAR EGEO
PDJ,DEL NORTE AL SUR EUROPEO
PDK,DEL SUR AL NORTE EUROPEO
PDL,RINCONES SECRETOS DEL MEDITERRANEO
PDM,DESTELLOS DE MÉXICO Y BAHAMAS
PDN,BUZIOS
PDO,CAMBORIU
PDP,RUMO A BARCELONA
PDQ,SALVADOR / RECIFE
PDR,DE EUROPA A BRASIL
PDS,Rose des Sables
PDT,DUBAI Y LEYENDAS ARABIA
PDU,DEL MAR EGEO AL MEDITERRANEO
PDV,DOLCE VITA
PDW,ESCAPADA A PORTUGAL
PDX,FIN DE AÑO EN CANARIAS
PDY,DEL MEDITERRANEO A CANARIAS
PDZ,DE GRECIA A DUBAI
PEA,ESCAPADAS AL ATLANTICO
PEB,Especial Cozumel-Colón
PEC,Caribe Este
PED,EUROPE-BRASIL
PEE,ENCANTOS DE EUROPA
PEF,Especial Progreso-Cartagena
PEG,EUROPE-BRASIL
PEH,EUROPE-BRASIL
PEI,ETE INDIEN
PEJ,DE DUBAI A GRECIA
PEK,Estambul Y Kusadasi
PEL,DE EUROPA AL CARIBE
PEM,ESCAPADA AL CARIBE
PEN,LA ONCE
PEO,ISLAS DEL CARIBE Y ST LUCIA
PEP,DE BARCELONA A LISBOA
PEQ,GRAN TRAVESIA ATLANTICO
PER,ATENAS Y RUTA FENICIOS
PES,ESCAPADA A GRECIA
PET,ESENCIA DE ITALIA
PEU,MARRUECOS Y PORTUGAL
PEV,Vénézia
PEW,MADEIRA E ISLAS CANARIAS
PEX,"MADEIRA, MARRUECOS Y ANDAL."
PEY,EYJAFJALLAJOKULL
PEZ,ISLAS CANARIAS A PORTUGAL
PFA,5 MARAVILLAS JOVENES
PFB,COSTA ATLANTICA AL MED.
PFC,COSTA ATLANTICA AL NORTE
PFD,NORTE A COSTA ATLANTICA
PFE,FIESTA
PFF,ESCAPADA AL SUR DE FRANCIA
PFG,EXPEDICION IS. BRITANICAS
PFH,PMT - OPEN SEA CRUISE CHARTER
PFI,Fiordos del norte
PFJ,"VENECIA, CROACIA Y GRECIA"
PFK,SPRING RIDERS BOAT
PFL,ANTILLAS - ESPECIAL ARUBA
PFM,ECLIPSE SOLAR EN DUBÁI
PFN,FERNANDO DE NORONHA
PFO,ISLAS CANARIAS Y MARRUECOS
PFP,"ISRAEL, GRECIA Y CULTURAS"
PFQ,ANTILLAS-ESPECIAL CURAÇAO
PFR,FERNANDO DE NORONHA-REVEILLON
PFS,A SANTOS POR S.F. DO SUL
PFT,MENORCA Y FRANCIA
PFU,"LISBOA, MARRUECOS Y ANDAL."
PFV,MALAGA Y LISBOA
